Assignment,Miles,Deliveries,Highway,Time
1,100,4,0,9.3
2,50,3,0,4.8
3,100,4,0,8.9
4,100,2,0,6.5
5,50,2,0,4.2
6,80,2,0,6.2
7,75,3,1,7.4
8,65,4,0,6
9,90,3,0,7.6
10,90,2,0,6.1
11,50,5,1,7
12,45,6,0,7
13,85,5,1,9.6
14,65,2,1,6.5
15,40,6,1,7.2
16,50,3,1,6
17,75,5,1,9.9
18,75,4,1,8.6
19,65,3,0,4.9
20,90,3,0,7.5
21,95,1,0,7.2
22,95,6,0,9.9
23,50,1,1,5.6
24,80,3,0,7.5
25,90,2,1,7.8
26,80,3,1,7.2
27,75,3,0,7
28,95,2,0,8.7
29,90,1,1,6.4
30,100,3,1,9.9
31,60,1,0,4.1
32,90,4,1,9.3
33,70,5,1,9.1
34,100,5,0,8.9
35,40,4,0,5.4
36,80,2,0,5.9
37,90,4,0,8.8
38,80,5,0,8.4
39,95,2,1,9.4
40,75,5,1,8.8
41,40,3,1,5
42,45,3,1,6.5
43,75,6,0,8.7
44,95,4,0,8.4
45,55,2,0,7.1
46,75,3,1,6.1
47,55,2,0,5.2
48,100,6,0,10
49,50,4,0,5.1
50,40,1,1,3.6
51,90,4,0,8.4
52,80,1,1,6.4
53,80,3,0,6.7
54,90,5,1,8.5
55,60,4,0,5.9
56,40,2,0,2.8
57,70,4,1,7.9
58,95,3,1,8.9
59,40,5,0,6
60,45,1,0,3.1
61,45,5,0,6.3
62,65,5,0,7.5
63,85,2,0,7.2
64,85,2,0,8
65,75,3,0,6.8
66,45,4,0,5.1
67,40,1,0,3.2
68,90,1,0,5.9
69,100,2,0,7.8
70,75,1,0,5.8
71,45,1,0,3.8
72,85,1,1,6.8
73,60,2,1,5.7
74,70,2,0,5.5
75,85,4,1,9.2
76,70,5,1,9
77,85,6,0,9.3
78,85,5,0,8.8
79,40,5,1,7.1
80,95,5,1,10.8
81,45,5,1,6.9
82,85,6,0,9.4
83,45,2,0,3.6
84,95,1,1,7.6
85,65,5,1,8.5
86,85,3,0,7.1
87,40,6,1,7.1
88,55,3,1,6
89,45,2,1,5.3
90,65,3,0,6.3
91,85,5,1,10.2
92,75,2,0,7.6
93,40,3,1,6
94,85,4,1,8.9
95,85,1,1,7.6
96,40,6,0,6.6
97,55,6,1,8
98,90,6,0,9.7
99,85,1,0,6.2
100,45,1,1,4.3
101,50,2,0,4.2
102,60,4,1,8
103,45,2,1,5.5
104,85,4,0,8.9
105,90,1,1,7.1
106,40,2,1,5.5
107,80,4,1,9.3
108,70,4,1,9.2
109,70,2,1,6.3
110,80,4,0,8.6
111,100,6,1,11
112,75,1,1,6.7
113,50,3,0,5.5
114,45,6,1,8.1
115,100,6,0,10.2
116,100,2,0,7.7
117,80,4,0,7.2
118,100,3,1,9
119,100,6,0,10.4
120,45,3,0,5.1
121,50,4,1,6.4
122,40,4,0,4.1
123,100,3,0,8
124,95,4,0,8.5
125,50,2,1,3.6
126,65,4,1,7.3
127,50,6,0,6.9
128,85,4,1,8.7
129,90,3,0,8.8
130,45,5,1,8.3
131,50,6,1,9.3
132,55,5,1,7.5
133,45,3,1,5.7
134,95,4,0,8.5
135,60,6,0,7.4
136,55,1,1,5.9
137,85,1,1,8
138,95,3,1,8.7
139,55,3,1,6.1
140,50,4,0,7.1
141,45,6,0,6.3
142,50,3,0,5.2
143,50,5,0,6
144,90,3,1,8.4
145,65,4,0,7.2
146,60,6,0,7.9
147,40,5,0,5.2
148,80,3,0,7
149,100,1,0,6.9
150,70,6,1,10.6
151,90,5,0,9
152,70,3,0,5.6
153,100,3,0,8.8
154,85,4,1,9.1
155,90,6,1,11.2
156,40,4,1,4.2
157,85,2,0,6.3
158,50,1,0,3.5
159,40,5,1,7.2
160,60,1,0,4.8
161,85,5,1,7.9
162,80,2,1,5.7
163,45,5,0,6.2
164,100,1,1,7
165,100,6,1,12.2
166,55,1,1,3.5
167,70,2,0,5.7
168,100,4,1,10
169,75,2,0,6.3
170,40,5,1,6.5
171,80,1,1,7.4
172,90,2,0,6.8
173,75,2,0,5.4
174,40,1,0,3.5
175,50,4,1,6.5
176,85,3,1,9.4
177,45,3,0,4.6
178,60,5,1,8.3
179,80,4,1,8.5
180,55,4,0,5.8
181,55,5,0,6.7
182,90,6,0,8.9
183,40,4,1,5
184,80,2,1,7.3
185,40,5,1,5.9
186,60,2,1,6
187,90,5,1,9.9
188,55,2,1,5.7
189,75,3,1,5.7
190,55,4,1,6.8
191,65,3,1,7.6
192,45,4,0,5
193,85,5,0,11.1
194,85,3,0,7.7
195,65,6,1,8.5
196,100,2,1,10
197,40,5,1,6.1
198,55,5,0,7
199,90,6,0,10.1
200,50,3,0,4.6
201,65,2,0,5.5
202,80,1,1,6.3
203,70,1,1,6.2
204,70,5,1,8.5
205,95,6,1,11.5
206,50,6,1,9.4
207,90,3,1,8.5
208,60,3,0,6.1
209,80,1,0,5.3
210,95,6,1,11
211,85,3,0,8.4
212,60,3,0,6.2
213,45,5,0,5
214,85,2,0,5.7
215,85,3,1,6.8
216,50,4,0,4.5
217,85,5,0,8.9
218,75,2,0,5.9
219,65,6,0,7.1
220,40,3,0,3.1
221,95,6,0,9.7
222,90,3,1,9.6
223,95,4,1,9.8
224,55,2,1,5.5
225,40,4,1,6.4
226,70,5,0,7.7
227,50,5,0,6.1
228,45,2,1,4.8
229,65,2,1,6.5
230,65,1,1,5.7
231,75,2,0,5.3
232,100,6,0,10.6
233,85,6,1,9.2
234,95,3,1,9
235,75,4,1,9.1
236,60,1,1,5.2
237,85,2,1,7.9
238,95,3,1,9.9
239,45,4,0,5.7
240,45,2,0,3.9
241,90,6,0,9.1
242,60,5,1,8.3
243,60,5,1,7.2
244,80,4,1,8.5
245,45,3,0,5.6
246,100,5,1,11.7
247,45,3,0,4.9
248,55,3,1,6.4
249,65,2,0,6.8
250,70,6,1,10.3
251,55,5,1,8.8
252,90,3,1,8.8
253,100,4,0,9.5
254,75,4,1,8.7
255,75,5,1,8.9
256,65,6,1,7.5
257,75,2,0,5.8
258,75,4,1,8.2
259,55,2,1,5.8
260,60,5,1,8
261,95,3,1,9
262,85,2,1,7.4
263,70,4,0,7
264,100,5,1,10.3
265,100,4,1,9.2
266,90,4,0,8.5
267,70,6,0,8.9
268,95,6,1,12.3
269,40,3,1,5.7
270,100,2,1,9.4
271,60,1,0,4
272,40,5,1,7.9
273,60,1,1,5.7
274,100,6,1,11.2
275,95,6,1,11.3
276,55,1,0,3.4
277,50,2,0,4.5
278,90,3,1,8.4
279,65,4,1,8.8
280,45,1,0,3.7
281,45,1,1,4.7
282,80,5,0,8.3
283,80,1,1,7.1
284,85,6,1,11.3
285,65,3,0,6.1
286,90,1,0,8
287,65,3,1,7.3
288,90,2,0,7.2
289,40,5,1,7.6
290,85,2,1,7.8
291,75,2,0,6.5
292,70,2,0,6.1
293,75,4,0,7.2
294,70,6,0,8.9
295,95,6,1,10.9
296,50,4,1,7.2
297,50,1,0,3.5
298,85,2,1,8
299,100,2,0,7.8
300,65,6,1,10
